lineup,poss_total,PM_p40,plus_minus,net_rtg,minutes,o_poss,d_poss,pts_for,pts_against,o_eFG%,o_TOV%,o_orbR,o_ftaR,off_rtg,d_eFG%,d_TOV%,d_orbR,d_ftaR,def_rtg,rel_PM_p40,rel_off_rtg,rel_def_rtg,rel_net_rtg,team_minutes,team_plus_minus,team_pts_for,team_pts_against,team_o_poss,team_d_poss,team_poss_total,team_off_rtg,team_def_rtg,team_net_rtg,team_PM_p40
JL-AM-IK-MH-CH,25.93,78.261,15,97.228,7.667,14.0,11.93,23,8,0.885,0.071,0.0,0.0,164.286,0.444,0.335,0.084,0.0,67.058,57.261,32.037,-29.759,61.796,40.0,21,87,66,65.785,68.17,133.955,132.249,96.817,35.432,21.0
AM-AC-IK-KJ-CH,11.0,26.966,2,60.0,2.967,5.0,6.0,8,6,0.8,0.0,0.0,0.0,160.0,0.75,0.333,0.0,0.0,100.0,5.966,27.751,3.183,24.568,40.0,21,87,66,65.785,68.17,133.955,132.249,96.817,35.432,21.0
JL-AM-AC-PR-CH,11.8,57.485,4,68.966,2.783,5.8,6.0,4,0,0.333,0.345,0.0,0.667,68.966,0.0,0.333,0.0,0.0,0.0,36.485,-63.283,-96.817,33.533,40.0,21,87,66,65.785,68.17,133.955,132.249,96.817,35.432,21.0
AM-IK-ZO-KJ-CH,6.93,-47.682,-3,-44.784,2.517,3.0,3.93,4,7,1.0,0.333,0.0,0.0,133.333,0.7,0.0,0.254,0.0,178.117,-68.682,1.084,81.3,-80.216,40.0,21,87,66,65.785,68.17,133.955,132.249,96.817,35.432,21.0
AM-AC-IK-MH-CH,7.92,17.266,1,19.526,2.317,4.06,3.86,5,4,0.25,0.246,0.493,0.75,123.153,0.5,0.518,0.518,0.0,103.627,-3.734,-9.096,6.81,-15.906,40.0,21,87,66,65.785,68.17,133.955,132.249,96.817,35.432,21.0
JL-AC-IK-KJ-PR,6.93,72.18,4,81.741,2.217,4.0,2.93,6,2,0.75,0.0,0.0,0.0,150.0,0.25,0.0,0.341,0.0,68.259,51.18,17.751,-28.557,46.308,40.0,21,87,66,65.785,68.17,133.955,132.249,96.817,35.432,21.0
AC-IK-ZO-KJ-PR,5.93,-19.512,-1,-27.759,2.05,2.93,3.0,7,8,0.875,0.0,0.341,0.0,238.908,1.333,0.0,0.0,0.0,266.667,-40.512,106.659,169.85,-63.191,40.0,21,87,66,65.785,68.17,133.955,132.249,96.817,35.432,21.0
MS-AM-ZO-PR-CH,5.0,-39.344,-2,-166.667,2.033,3.0,2.0,4,6,1.0,0.333,0.0,0.0,133.333,1.5,0.0,0.0,0.0,300.0,-60.344,1.084,203.183,-202.099,40.0,21,87,66,65.785,68.17,133.955,132.249,96.817,35.432,21.0
JL-AM-IK-PR-CH,6.8,-88.889,-4,-83.333,1.8,2.0,4.8,0,4,0.0,0.0,0.0,0.0,0.0,0.5,0.208,0.0,0.667,83.333,-109.889,-132.249,-13.483,-118.766,40.0,21,87,66,65.785,68.17,133.955,132.249,96.817,35.432,21.0
JL-AC-IK-PR-CH,6.2,67.925,3,106.25,1.767,3.0,3.2,6,3,1.5,0.333,0.0,0.0,200.0,0.0,0.0,0.0,1.5,93.75,46.925,67.751,-3.067,70.818,40.0,21,87,66,65.785,68.17,133.955,132.249,96.817,35.432,21.0
JL-AM-AC-KJ-PR,6.66,126.316,5,172.678,1.583,3.0,3.66,6,1,1.0,0.0,0.0,0.0,200.0,0.0,0.546,0.546,0.667,27.322,105.316,67.751,-69.494,137.245,40.0,21,87,66,65.785,68.17,133.955,132.249,96.817,35.432,21.0
JL-AM-IK-MH-AM7,3.0,-85.714,-3,-150.0,1.4,1.0,2.0,0,3,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,150.0,-106.714,-132.249,53.183,-185.432,40.0,21,87,66,65.785,68.17,133.955,132.249,96.817,35.432,21.0
MS-AC-ZO-KJ-LL,4.395,-57.831,-2,-100.0,1.383,2.395,2.0,0,2,0.0,0.418,0.418,0.0,0.0,0.5,0.0,0.0,0.0,100.0,-78.831,-132.249,3.183,-135.432,40.0,21,87,66,65.785,68.17,133.955,132.249,96.817,35.432,21.0
AM-IK-ZO-MH-AM7,5.8,58.537,2,76.19,1.367,2.8,3.0,4,2,0.5,0.0,0.0,1.0,142.857,1.0,0.667,0.0,0.0,66.667,37.537,10.608,-30.15,40.758,40.0,21,87,66,65.785,68.17,133.955,132.249,96.817,35.432,21.0
AM-AC-IK-MH-AM7,4.0,-100.0,-3,-150.0,1.2,2.0,2.0,0,3,0.0,0.5,0.0,0.0,0.0,1.5,0.5,0.0,0.0,150.0,-121.0,-132.249,53.183,-185.432,40.0,21,87,66,65.785,68.17,133.955,132.249,96.817,35.432,21.0
JL-AC-IK-KJ-CH,2.8,160.267,4,222.222,0.998,1.8,1.0,4,0,1.0,0.0,0.0,2.0,222.222,0.0,0.0,0.0,0.0,0.0,139.267,89.973,-96.817,186.79,40.0,21,87,66,65.785,68.17,133.955,132.249,96.817,35.432,21.0
JL-AM-IK-KJ-CH,3.0,81.356,2,100.0,0.983,2.0,1.0,2,0,0.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.356,-32.249,-96.817,64.568,40.0,21,87,66,65.785,68.17,133.955,132.249,96.817,35.432,21.0
AM-AC-IK-PR-CH,3.0,93.385,2,100.0,0.857,2.0,1.0,2,0,1.0,0.5,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,72.385,-32.249,-96.817,64.568,40.0,21,87,66,65.785,68.17,133.955,132.249,96.817,35.432,21.0
MS-AC-ZO-KJ-PR,2.0,-156.522,-3,-300.0,0.767,1.0,1.0,0,3,0.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,300.0,-177.522,-132.249,203.183,-335.432,40.0,21,87,66,65.785,68.17,133.955,132.249,96.817,35.432,21.0
AM-AC-IK-KJ-PR,1.93,0.0,0,-15.054,0.75,1.0,0.93,2,2,1.0,0.0,0.0,0.0,200.0,0.5,0.0,1.075,0.0,215.054,-21.0,67.751,118.237,-50.486,40.0,21,87,66,65.785,68.17,133.955,132.249,96.817,35.432,21.0
AM-AC-IK-MH-PR,2.0,0.0,0,0.0,0.393,0.0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.0,-132.249,-96.817,-35.432,40.0,21,87,66,65.785,68.17,133.955,132.249,96.817,35.432,21.0
MS-AC-ZO-KJ-CH,0.93,-396.694,-2,-215.054,0.202,0.0,0.93,0,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.075,0.0,215.054,-417.694,-132.249,118.237,-250.486,40.0,21,87,66,65.785,68.17,133.955,132.249,96.817,35.432,21.0
