lineup,poss_total,PM_p40,plus_minus,net_rtg,minutes,o_poss,d_poss,pts_for,pts_against,o_eFG%,o_TOV%,o_orbR,o_ftaR,off_rtg,d_eFG%,d_TOV%,d_orbR,d_ftaR,def_rtg,rel_PM_p40,rel_off_rtg,rel_def_rtg,rel_net_rtg,team_minutes,team_plus_minus,team_pts_for,team_pts_against,team_o_poss,team_d_poss,team_poss_total,team_off_rtg,team_def_rtg,team_net_rtg,team_PM_p40
JL-AM-IK-MH-CH,36.392,8.0,2,13.728,10.0,17.93,18.462,18,16,0.6,0.223,0.056,0.0,100.39,0.5,0.271,0.054,0.143,86.662,17.0,15.154,-10.463,25.617,40.0,-9,60,69,70.393,71.042,141.435,85.236,97.125,-11.889,-9.0
JL-AM-AC-MH-CH,31.331,5.009,1,-0.105,7.985,16.358,14.973,12,11,0.206,0.061,0.245,0.353,73.359,0.25,0.267,0.134,1.375,73.464,14.009,-11.876,-23.661,11.784,40.0,-9,60,69,70.393,71.042,141.435,85.236,97.125,-11.889,-9.0
JL-AM-IK-PR-CH,6.8,-77.005,-6,-128.571,3.117,2.8,4.0,2,8,0.0,0.0,0.0,1.0,71.429,1.0,0.0,0.0,0.0,200.0,-68.005,-13.807,102.875,-116.682,40.0,-9,60,69,70.393,71.042,141.435,85.236,97.125,-11.889,-9.0
AM-AC-ZO-KJ-PR,11.0,-28.916,-2,-26.667,2.767,5.0,6.0,2,4,0.25,0.2,0.0,0.0,40.0,0.5,0.333,0.0,0.0,66.667,-19.916,-45.236,-30.458,-14.778,40.0,-9,60,69,70.393,71.042,141.435,85.236,97.125,-11.889,-9.0
AM-AC-ZO-MH-CH,8.66,-14.528,-1,8.984,2.753,3.93,4.73,7,8,0.7,0.0,0.254,0.0,178.117,0.75,0.211,0.211,0.5,169.133,-5.528,92.881,72.008,20.873,40.0,-9,60,69,70.393,71.042,141.435,85.236,97.125,-11.889,-9.0
JL-AM-ZO-MH-AM7,9.0,-14.824,-1,-50.0,2.698,5.0,4.0,5,6,0.625,0.2,0.0,0.0,100.0,0.75,0.0,0.0,0.0,150.0,-5.824,14.764,52.875,-38.111,40.0,-9,60,69,70.393,71.042,141.435,85.236,97.125,-11.889,-9.0
JL-AM-AC-MH-PR,7.077,0.0,0,20.028,2.15,2.93,4.147,2,2,0.25,0.0,0.341,0.0,68.259,0.2,0.482,0.482,0.0,48.231,9.0,-16.977,-48.894,31.917,40.0,-9,60,69,70.393,71.042,141.435,85.236,97.125,-11.889,-9.0
AM-AC-ZO-KJ-AM7,4.93,0.0,0,0.0,1.733,1.93,3.0,0,0,0.0,0.0,0.518,0.0,0.0,0.0,0.667,0.0,0.0,0.0,9.0,-85.236,-97.125,11.889,40.0,-9,60,69,70.393,71.042,141.435,85.236,97.125,-11.889,-9.0
JL-AC-ZO-MH-CH,5.53,129.032,5,141.643,1.55,3.53,2.0,5,0,0.5,0.283,0.283,2.0,141.643,0.0,0.0,0.0,0.0,0.0,138.032,56.407,-97.125,153.532,40.0,-9,60,69,70.393,71.042,141.435,85.236,97.125,-11.889,-9.0
JL-AC-ZO-MH-PR,5.395,0.0,0,0.0,1.417,3.395,2.0,0,0,0.0,0.589,0.295,0.0,0.0,0.0,1.0,0.5,0.0,0.0,9.0,-85.236,-97.125,11.889,40.0,-9,60,69,70.393,71.042,141.435,85.236,97.125,-11.889,-9.0
JL-AM-ZO-KJ-AM7,5.79,-98.63,-3,-100.718,1.217,2.86,2.93,2,5,0.333,0.699,0.699,0.0,69.93,0.625,0.0,0.341,0.0,170.648,-89.63,-15.306,73.524,-88.829,40.0,-9,60,69,70.393,71.042,141.435,85.236,97.125,-11.889,-9.0
JL-AC-ZO-KJ-CH,2.8,-98.63,-3,0.0,1.217,0.8,2.0,2,5,0.0,0.0,0.0,0.0,250.0,1.25,0.0,0.0,0.0,250.0,-89.63,164.764,152.875,11.889,40.0,-9,60,69,70.393,71.042,141.435,85.236,97.125,-11.889,-9.0
AM-IK-ZO-MH-CH,1.0,0.0,0,0.0,0.467,1.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-85.236,-97.125,11.889,40.0,-9,60,69,70.393,71.042,141.435,85.236,97.125,-11.889,-9.0
JL-AC-ZO-KJ-PR,1.53,0.0,0,23.973,0.4,0.73,0.8,2,2,0.0,0.0,1.37,2.0,273.973,0.0,0.0,0.0,0.0,250.0,9.0,188.737,152.875,35.862,40.0,-9,60,69,70.393,71.042,141.435,85.236,97.125,-11.889,-9.0
JL-AM-ZO-MH-CH,1.4,0.0,0,0.0,0.302,0.4,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,-85.236,-97.125,11.889,40.0,-9,60,69,70.393,71.042,141.435,85.236,97.125,-11.889,-9.0
JL-AM-AC-PR-CH,1.8,-266.667,-1,-75.0,0.15,0.8,1.0,1,2,0.0,0.0,0.0,0.0,125.0,1.0,0.0,0.0,0.0,200.0,-257.667,39.764,102.875,-63.111,40.0,-9,60,69,70.393,71.042,141.435,85.236,97.125,-11.889,-9.0
AM-AC-MH-PR-CH,1.0,0.0,0,0.0,0.078,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-85.236,-97.125,11.889,40.0,-9,60,69,70.393,71.042,141.435,85.236,97.125,-11.889,-9.0
