"pId1","pId2","pId3","pId4","pId5","gpPbp","poss","minsPbp","plusMinus","plusMinusPctile","netRtg","netRtgPctile","ortg","ortgPctile","efgPct","efgPctPctile","orbPct","orbPctPctile","ftaRate","ftaRatePctile","tovPct","tovPctPctile","drtg","drtgPctile","efgPctAgst","efgPctAgstPctile","orbPctAgst","orbPctAgstPctile","tovPctAgst","tovPctAgstPctile","ftaRateAgst","ftaRateAgstPctile"
"pId1","pId2","pId3","pId4","pId5","GP*","POSS","MP*","Plus-Minus","Plus-Minus %ile","Net Rtg","Net Rtg %ile","ORtg","ORtg %ile","eFG%","eFG% %ile","ORB%","ORB% %ile","FTA Rate","FTA Rate %ile","TOV%","TOV% %ile","DRtg","DRtg %ile","efgPctAgst","undefined %ile","orbPctAgst","undefined %ile","tovPctAgst","undefined %ile","ftaRateAgst","undefined %ile"
"1605617","1724724","1925556","1724781","2143277","5","106.023","62.71","34","0.94","32.06851343576394","0.87","106.5806475953331","0.72","0.5","0.65","0.38","0.77","0.5432098765432098","0.94","0.22418058132343843","0.27","74.51213415956916","0.87","0.39204545454545453","0.79","0.2542372881355932","0.68","0.21878155503197577","0.66","0.125","0.86"
"1605617","1724724","2313740","2143277","1925238","2","2.865","1.77","1","0.49","34.904013961605585","0.89","209.4240837696335","1","1","1","1","1","0","0.01","0","1","174.5200698080279","0","0.6666666666666666","0.02","0","1","0","0","0.6666666666666666","0.02"
"1605617","1724724","1925556","2143277","1925238","5","31.421","17.91","-16","0.12","-50.92135832723338","0.03","54.103943222685466","0.01","0.28","0.02","0.10526315789473684","0.03","0.16","0.22","0.20734597156398102","0.36","105.02530154991885","0.23","0.4166666666666667","0.7","0.2777777777777778","0.58","0.08021390374331551","0.02","0.3333333333333333","0.27"
"2313738","1605617","1724724","1724781","1925238","1","1.9","0.53","0","0.46","0","0.46","0","0","0","0","0","0","0","0.01","0.5","0","0","1","0","1","0","1","0","0","2","0"
"1724724","2112578","1925556","2143277","1925238","4","9.718","4.41","-12","0.18","-123.4821979831241","0","41.160732661041365","0.01","0.125","0","0.16666666666666666","0.09","0.25","0.5","0.1838235294117647","0.54","164.64293064416546","0","0.8571428571428571","0","0.6666666666666666","0","0.1718213058419244","0.36","0.8571428571428571","0.01"
"1605617","2112578","1925556","1724781","2143277","3","20.448999999999998","10.81","1","0.49","4.890214680424471","0.53","83.13364956721601","0.24","0.34615384615384615","0.1","0.3333333333333333","0.63","0.9230769230769231","0.99","0.21477663230240548","0.32","78.24343488679155","0.82","0.325","0.93","0.3076923076923077","0.45","0.18996960486322187","0.48","0.15","0.79"
"1605617","1724724","2112578","1925556","2143277","3","11.195","5.5600000000000005","1","0.49","8.932559178204555","0.59","62.527914247431895","0.04","0.3","0.04","0","0","0.8","0.99","0.3717472118959108","0.01","53.59535506922734","0.99","0.3","0.96","0.42857142857142855","0.1","0.3333333333333333","0.98","0","1"
"2313738","1605617","1925556","1724781","2143277","2","7.262","3.8","-2","0.41","-27.54062241806665","0.13","27.54062241806665","0","0.5","0.65","0.5","0.96","1","0.99","0.6345177664974619","0","55.0812448361333","0.98","0.2857142857142857","0.97","0.3333333333333333","0.37","0.21186440677966098","0.61","0.14285714285714285","0.82"
"1724724","2112578","1724781","2143277","1925238","1","0.365","0.33","-1","0.44","-273.972602739726","0","0","0","","0","","0","","0","","0","273.972602739726","0","0","1","1","0","0","0","2","0"
"2313738","1605617","1724781","2143277","1925238","1","0.465","0.7","0","0.46","0","0.46","0","0","0","0","0","0","0","0.01","0","1","0","1","0","1","1","0","0","0","0","1"
"1605617","1724724","2112577","2313740","1925238","1","1.1","0.36","0","0.46","0","0.46","181.8181818181818","1","","0","","0","","0","0","1","181.8181818181818","0","1","0","1","0","0","0","1","0.01"
"1605617","1724724","2112578","2313740","1925238","1","1","0.77","-2","0.41","-200","0","0","0","0","0","0","0","0","0.01","0","1","200","0","1","0","","0","0","0","0","1"
"1605617","1724724","2112578","1925556","1724781","5","56.23","26.880000000000003","-9","0.24","-16.005690912324383","0.24","92.47732527120755","0.43","0.4782608695652174","0.54","0.2222222222222222","0.21","0.2608695652173913","0.53","0.18963337547408343","0.49","108.48301618353193","0.18","0.5813953488372093","0.09","0.4230769230769231","0.11","0.22754854368932037","0.71","0.4186046511627907","0.14"
"1605617","1724724","1925556","2313734","2143277","2","7","5.07","6","0.62","85.71428571428571","0.99","85.71428571428571","0.29","0.6","0.92","0","0","0","0.01","0.2857142857142857","0.07","0","1","0","1","0","1","0.7142857142857143","1","0","1"
"2313738","1605617","2112578","1925556","2313734","1","1.4","0.23","2","0.52","142.85714285714286","1","142.85714285714286","0.99","","0","","0","","0","0.5319148936170213","0","0","1","","0","","0","1","1","","0"
"2313738","1605617","2112578","1925556","1925238","1","0.965","1.03","-2","0.41","-207.2538860103627","0","0","0","0","0","0","0","0","0.01","0","1","207.25388601036272","0","0.5","0.33","1","0","0","0","0","1"
