lineup,interval,interval_num,possessions,minutes,plusminus_per40,netrating,plusminus
MMAS-CSOT-EMAS-HFRI-MHAR,Interval 1,1,14.93,7.8,-20.51,-26.79,-4
AMEL-OMUC-CSOT-HFRI-MVIC,Interval 1,1,3.8,2.8,14.29,26.35,1
OMUC-MMAS-CSOT-EBRU-MVIC,Interval 1,1,19.55,12.75,25.1,40.93,8
AMEL-MMAS-CSOT-EBRU-MHAR,Interval 1,1,3.46,2.45,48.98,86.58,3
OMUC-MMAS-CSOT-EMAS-MHAR,Interval 1,1,13.66,8.77,4.56,7.32,1
OMUC-MMAS-MMAS-CSOT-MVIC,Interval 1,1,3.4,2.38,84.03,147.06,5
AMEL-MMAS-EMAS-HFRI-MVIC,Interval 1,1,5.43,3.83,-31.33,-55.25,-3
OMUC-CSOT-EBRU-HFRI-MHAR,Interval 1,1,5.46,2.7,44.44,54.89,3
HJOH-CSOT-EMAS-HFRI-MVIC,Interval 1,1,6.93,3.19,37.62,43.29,3
MMAS-MMAS-CSOT-EBRU-MVIC,Interval 2,2,92.73,54.91,4.37,6.47,6
MMAS-MMAS-CSOT-EBRU-MHAR,Interval 2,2,36.55,20.14,9.93,13.68,5
OMUC-MMAS-EBRU-EMAS-MVIC,Interval 2,2,0.4,0.03,0.0,0.0,0
OMUC-MMAS-MMAS-EBRU-MVIC,Interval 2,2,8.23,4.44,-9.01,-12.15,-1
MMAS-MMAS-EMAS-HFRI-MHAR,Interval 2,2,0.46,0.55,-145.45,-430.11,-2
OMUC-MMAS-EBRU-EMAS-HFRI,Interval 2,2,0.2,0.25,0.0,0.0,0
OMUC-MMAS-MMAS-EBRU-HFRI,Interval 2,2,1.0,0.32,-250.0,-200.0,-2
OMUC-MMAS-CSOT-EBRU-MHAR,Interval 2,2,2.5,1.27,-62.99,-80.0,-2
OMUC-HJOH-EBRU-EMAS-HFRI,Interval 2,2,5.48,2.78,-71.94,-91.26,-5
MMAS-MMAS-CSOT-EMAS-MVIC,Interval 2,2,17.96,11.07,18.07,27.84,5
OMUC-MMAS-MMAS-HFRI-MVIC,Interval 2,2,1.86,1.5,53.33,107.24,2
OMUC-MMAS-CSOT-HFRI-MHAR,Interval 2,2,-0.07,0.33,0.0,,0
MMAS-MMAS-CSOT-EBRU-EMAS,Interval 2,2,26.69,14.48,-30.39,-41.21,-11
OMUC-MMAS-EBRU-HFRI-MVIC,Interval 2,2,6.37,3.81,-31.5,-47.07,-3
MMAS-CSOT-EBRU-EMAS-HFRI,Interval 2,2,3.0,1.42,-169.01,-200.0,-6
OMUC-MMAS-CSOT-EBRU-MVIC,Interval 2,2,3.3,2.02,39.6,60.61,2
OMUC-MMAS-EBRU-HFRI-MVIC,Interval 2,2,4.83,2.6,-30.77,-41.41,-2
MMAS-CSOT-EBRU-HFRI-MHAR,Interval 2,2,1.4,1.07,-112.15,-214.29,-3
MMAS-MMAS-CSOT-EMAS-HFRI,Interval 2,2,2.46,1.77,-90.4,-162.27,-4
OMUC-CSOT-EBRU-HFRI-MVIC,Interval 2,2,0.7,0.21,0.0,0.0,0
OMUC-MMAS-EBRU-HFRI-MHAR,Interval 2,2,2.46,1.6,-125.0,-202.84,-5
MMAS-CSOT-EMAS-HFRI-MVIC,Interval 2,2,0.5,0.4,0.0,0.0,0
OMUC-MMAS-MMAS-HFRI-MHAR,Interval 2,2,1.0,0.47,0.0,0.0,0
MMAS-MMAS-CSOT-HFRI-MVIC,Interval 2,2,1.2,0.8,0.0,0.0,0
MMAS-MMAS-CSOT-HFRI-MHAR,Interval 2,2,2.9,1.5,-53.33,-68.97,-2
MMAS-CSOT-EMAS-HFRI-MVIC,Interval 2,2,0.4,0.48,-166.67,-500.0,-2
OMUC-MMAS-EBRU-EMAS-MHAR,Interval 2,2,0.9,0.5,-160.0,-222.22,-2
OMUC-MMAS-MMAS-EMAS-MVIC,Interval 2,2,10.63,6.75,-23.7,-37.63,-4
OMUC-CSOT-EBRU-HFRI-MHAR,Interval 2,2,9.47,5.21,-53.74,-73.91,-7
OMUC-HJOH-EBRU-EMAS-MHAR,Interval 2,2,1.8,1.03,116.5,166.67,3
OMUC-MMAS-CSOT-HFRI-MVIC,Interval 2,2,2.9,2.05,-19.51,-34.48,-1
OMUC-MMAS-CSOT-EBRU-MHAR,Interval 2,2,3.0,1.73,-92.49,-133.33,-4
OMUC-MMAS-MMAS-EBRU-MHAR,Interval 2,2,4.4,2.65,-15.09,-22.73,-1
OMUC-MMAS-CSOT-EMAS-MHAR,Interval 2,2,2.5,1.6,0.0,0.0,0
OMUC-MMAS-CSOT-EBRU-MVIC,Interval 2,2,1.5,0.88,45.45,66.67,1
OMUC-MMAS-CSOT-HFRI-MVIC,Interval 2,2,0.5,0.47,255.32,600.0,3
OMUC-MMAS-CSOT-EMAS-MHAR,Interval 2,2,1.5,1.45,0.0,0.0,0
OMUC-MMAS-CSOT-EMAS-MVIC,Interval 2,2,3.86,2.06,-58.25,-77.62,-3
MMAS-CSOT-EBRU-HFRI-MVIC,Interval 2,2,2.5,1.57,25.48,40.0,1
MMAS-MMAS-EBRU-HFRI-MHAR,Interval 2,2,4.5,1.8,-22.22,-22.22,-1
MMAS-MMAS-EBRU-EMAS-MVIC,Interval 2,2,1.5,0.72,166.67,200.0,3
MMAS-MMAS-EBRU-EMAS-MHAR,Interval 2,2,2.0,1.2,66.67,100.0,2
OMUC-MMAS-MMAS-CSOT-HFRI,Interval 2,2,4.46,2.65,-30.19,-44.79,-2
OMUC-MMAS-CSOT-EMAS-MVIC,Interval 2,2,4.0,2.08,0.0,0.0,0
MMAS-CSOT-EMAS-HFRI-MHAR,Interval 2,2,0.96,0.5,160.0,207.25,2
MMAS-CSOT-EBRU-EMAS-MVIC,Interval 2,2,7.46,4.96,-32.26,-53.58,-4
OMUC-MMAS-MMAS-EMAS-MHAR,Interval 2,2,13.4,7.15,-95.1,-126.91,-17
OMUC-MMAS-CSOT-EBRU-HFRI,Interval 2,2,3.3,1.85,86.49,121.21,4
MMAS-MMAS-EBRU-HFRI-MVIC,Interval 2,2,2.82,2.48,48.39,106.19,3
OMUC-MMAS-MMAS-EMAS-HFRI,Interval 2,2,6.16,4.25,9.41,16.23,1
MMAS-MMAS-CSOT-EMAS-MHAR,Interval 2,2,14.22,7.96,20.1,28.12,4
MMAS-CSOT-EBRU-HFRI-MVIC,Interval 2,2,7.08,4.23,37.83,56.54,4
OMUC-MMAS-CSOT-EMAS-MHAR,Interval 3,3,18.26,11.68,-44.52,-71.19,-13
MMAS-MMAS-CSOT-EBRU-MHAR,Interval 3,3,19.55,11.66,-24.01,-35.81,-7
OMUC-MMAS-MMAS-EBRU-MVIC,Interval 3,3,14.16,8.66,46.19,70.62,10
OMUC-MMAS-MMAS-EBRU-MHAR,Interval 3,3,13.68,8.16,-14.71,-21.92,-3
OMUC-MMAS-EMAS-HFRI-MVIC,Interval 3,3,2.46,1.6,-50.0,-81.14,-2
MMAS-MMAS-EBRU-HFRI-MHAR,Interval 3,3,4.63,3.97,-40.3,-86.36,-4
MMAS-MMAS-CSOT-EMAS-HFRI,Interval 3,3,21.75,15.77,-10.15,-18.39,-4
MMAS-MMAS-CSOT-HFRI-MVIC,Interval 3,3,18.86,10.92,47.62,68.95,13
OMUC-MMAS-CSOT-HFRI-MHAR,Interval 3,3,11.09,8.04,-39.8,-72.14,-8
MMAS-CSOT-EBRU-EMAS-MHAR,Interval 3,3,9.73,4.57,-35.01,-41.11,-4
OMUC-MMAS-MMAS-EMAS-MVIC,Interval 3,3,25.4,19.61,-20.4,-39.37,-10
MMAS-CSOT-EBRU-EMAS-MVIC,Interval 3,3,3.9,1.35,-88.89,-76.92,-3
OMUC-MMAS-MMAS-EMAS-MHAR,Interval 3,3,20.93,11.89,-13.46,-19.11,-4
OMUC-MMAS-CSOT-EBRU-EMAS,Interval 3,3,10.59,6.73,17.83,28.33,3
MMAS-MMAS-CSOT-EMAS-MHAR,Interval 3,3,29.6,17.1,-28.07,-40.54,-12
OMUC-MMAS-CSOT-EBRU-MVIC,Interval 3,3,13.29,7.32,-5.46,-7.52,-1
OMUC-CSOT-EMAS-HFRI-MVIC,Interval 3,3,-0.04,0.33,0.0,,0
OMUC-CSOT-EBRU-HFRI-MHAR,Interval 3,3,15.32,10.47,-45.85,-78.3,-12
MMAS-CSOT-EBRU-HFRI-MVIC,Interval 3,3,2.4,0.79,-202.53,-166.67,-4
MMAS-MMAS-CSOT-EBRU-EMAS,Interval 3,3,3.5,2.47,-16.19,-28.61,-1
OMUC-CSOT-EBRU-EMAS-MHAR,Interval 3,3,3.86,2.4,-100.0,-155.24,-6
OMUC-MMAS-MMAS-CSOT-EMAS,Interval 3,3,14.35,9.78,-36.81,-62.72,-9
OMUC-MMAS-CSOT-EBRU-MHAR,Interval 3,3,29.62,16.5,-7.27,-10.13,-3
OMUC-MMAS-CSOT-EMAS-MHAR,Interval 3,3,12.86,8.99,-13.35,-23.32,-3
MMAS-MMAS-CSOT-HFRI-MHAR,Interval 3,3,6.96,4.33,-18.48,-28.72,-2
