lineup,interval,interval_num,possessions,minutes,plusminus_per40,netrating,plusminus
LSMI-NLOW-JKEN-TFAU-MRAD,Interval 3,3,0.9,0.38,105.26,111.11,1
AJAM-LSMI-SWAR-TFAU-MRAD,Interval 3,3,7.9,4.68,68.38,101.27,8
DNES-AJAM-SWAR-MRAD-LGLA,Interval 3,3,1.96,0.98,81.63,101.78,2
DNES-LSMI-SSZA-JKEN-LAND,Interval 3,3,5.46,3.05,-52.46,-73.19,-4
AJAM-LSMI-NLOW-JKEN-SWAR,Interval 3,3,23.02,15.64,25.58,43.45,10
DNES-AJAM-JKEN-SWAR-MRAD,Interval 3,3,3.5,1.65,-24.24,-28.57,-1
DNES-AJAM-LSMI-JKEN-EELL,Interval 3,3,26.97,17.61,15.9,25.96,7
DNES-AJAM-SSZA-SWAR-EELL,Interval 3,3,4.9,2.38,33.61,40.82,2
DNES-NLOW-SSZA-JKEN-TFAU,Interval 3,3,4.69,1.92,166.67,170.68,8
LSMI-NLOW-JKEN-SWAR-MRAD,Interval 3,3,3.46,2.33,103.0,173.16,6
AJAM-NLOW-JKEN-MRAD-LGLA,Interval 3,3,2.5,1.55,103.23,160.0,4
AJAM-LSMI-SWAR-EELL-MRAD,Interval 4,4,94.39,56.3,8.53,12.71,12
DNES-LSMI-NLOW-SWAR-TFAU,Interval 4,4,1.5,0.75,-106.67,-133.33,-2
DNES-LSMI-NLOW-EELL-MRAD,Interval 4,4,3.46,2.78,-28.78,-57.72,-2
DNES-AJAM-NLOW-JKEN-SWAR,Interval 4,4,2.76,1.97,-20.3,-36.17,-1
DNES-LSMI-NLOW-JKEN-SWAR,Interval 4,4,0.46,0.47,-170.21,-430.11,-2
DNES-AJAM-JKEN-SWAR-MRAD,Interval 4,4,0.9,0.62,64.52,111.11,1
LSMI-NLOW-SWAR-TFAU-MRAD,Interval 4,4,0.9,1.0,-120.0,-335.2,-3
AJAM-NLOW-SWAR-MRAD-LGLA,Interval 4,4,4.3,2.17,0.0,0.0,0
AJAM-LSMI-NLOW-SWAR-EELL,Interval 4,4,51.69,25.32,4.74,5.8,3
DNES-LSMI-SWAR-MRAD-LGLA,Interval 4,4,9.13,3.2,-25.0,-21.91,-2
DNES-AJAM-LSMI-EELL-LGLA,Interval 4,4,9.86,5.34,-14.98,-20.28,-2
DNES-LSMI-NLOW-SWAR-EELL,Interval 4,4,3.86,2.25,71.11,103.49,4
LSMI-NLOW-JKEN-EELL-LGLA,Interval 4,4,-0.04,0.01,0.0,,0
AJAM-LSMI-JKEN-EELL-MRAD,Interval 4,4,9.06,4.59,26.14,33.09,3
DNES-LSMI-NLOW-SWAR-LGLA,Interval 4,4,13.02,9.35,-59.89,-107.49,-14
DNES-AJAM-NLOW-SWAR-LGLA,Interval 4,4,7.81,4.92,32.52,51.22,4
DNES-LSMI-NLOW-EELL-LGLA,Interval 4,4,11.72,5.63,28.42,34.12,4
DNES-LSMI-JKEN-SWAR-MRAD,Interval 4,4,5.5,3.11,-12.86,-18.18,-1
DNES-AJAM-LSMI-SWAR-LGLA,Interval 4,4,10.8,5.56,21.58,27.79,3
AJAM-LSMI-NLOW-JKEN-LGLA,Interval 4,4,6.13,3.01,13.29,16.31,1
DNES-LSMI-SSZA-JKEN-LGLA,Interval 4,4,2.73,1.18,-135.59,-146.52,-4
DNES-LSMI-NLOW-JKEN-MRAD,Interval 4,4,5.86,3.36,-11.9,-17.05,-1
DNES-AJAM-LSMI-JKEN-MRAD,Interval 4,4,5.56,3.2,12.5,17.97,1
DNES-AJAM-LSMI-SWAR-EELL,Interval 4,4,18.54,10.7,11.21,16.18,3
DNES-AJAM-NLOW-EELL-LGLA,Interval 4,4,5.13,2.89,41.52,58.5,3
LSMI-NLOW-JKEN-EELL-MRAD,Interval 4,4,2.93,1.67,-47.9,-68.26,-2
