lineup,interval,interval_num,possessions,minutes,plusminus_per40,netrating,plusminus
ATUR-CO'C-MDAL-YEJI-ELIT,Interval 4,4,0.46,0.53,0.0,0.0,0
ATUR-IBET-TDAL-YEJI-ELIT,Interval 4,4,17.84,11.31,49.51,78.47,14
ATUR-CO'C-YEJI-BSAL-MHUI,Interval 4,4,17.47,8.97,0.0,0.0,0
ATUR-IBET-COSA-MDAL-MHUI,Interval 4,4,0.96,0.41,-97.56,-103.63,-1
IBET-CO'C-YEJI-ELIT-MHUI,Interval 4,4,0.96,0.98,40.82,103.63,1
ATUR-CO'C-MDAL-BSAL-MHUI,Interval 4,4,1.96,1.35,59.26,101.78,2
ATUR-VGUN-COSA-MDAL-MHUI,Interval 4,4,1.0,0.55,218.18,300.0,3
ATUR-IBET-CO'C-MDAL-YEJI,Interval 4,4,2.4,1.75,0.0,0.0,0
IBET-TDAL-COSA-YEJI-ELIT,Interval 4,4,1.46,1.48,81.08,204.78,3
IBET-COSA-YEJI-BSAL-MHUI,Interval 4,4,3.36,1.88,-21.28,-29.72,-1
IBET-TDAL-BSAL-ELIT-MHUI,Interval 4,4,11.74,7.15,33.57,51.12,6
ATUR-CO'C-YEJI-ELIT-MHUI,Interval 4,4,8.13,4.69,42.64,61.5,5
ATUR-IBET-TDAL-BSAL-MHUI,Interval 4,4,3.0,1.67,23.95,33.33,1
ATUR-IBET-MDAL-YEJI-ELIT,Interval 4,4,6.0,3.98,30.15,50.0,3
ATUR-CO'C-MDAL-YEJI-BSAL,Interval 4,4,7.4,3.73,0.0,0.0,0
