lineup,interval,interval_num,possessions,minutes,plusminus_per40,netrating,plusminus
CVEC-TBOL-CFER-LNAV-SYEP,Interval 4,4,0.4,0.0,inf,250.0,1
ASCH-KSHU-TBOL-CFER-SYEP,Interval 4,4,0.5,0.5,-160.0,-400.0,-2
ASCH-TBOL-CFER-AMAR-KREE,Interval 4,4,24.29,16.62,-12.03,-20.58,-5
ASCH-KSHU-CFER-AMAR-SHEI,Interval 4,4,18.14,11.4,14.04,22.05,4
KSHU-TBOL-CFER-AMAR-SHEI,Interval 4,4,28.57,17.61,-9.09,-14.0,-4
ASCH-KSHU-CFER-SYEP-AMAR,Interval 4,4,0.4,0.0,inf,500.0,2
KSHU-CFER-AMAR-KREE-SHEI,Interval 4,4,20.93,13.55,-14.76,-23.89,-5
ASCH-KSHU-CFER-KREE-SHEI,Interval 4,4,6.1,3.78,31.75,49.2,3
CVEC-ASCH-TBOL-CFER-SHEI,Interval 4,4,0.9,0.41,-97.56,-111.11,-1
KSHU-CFER-SYEP-AMAR-KREE,Interval 4,4,7.7,5.03,23.86,38.96,3
KSHU-TBOL-SYEP-AMAR-SHEI,Interval 4,4,1.86,0.9,-133.33,-160.86,-3
KSHU-CFER-SYEP-AMAR-SHEI,Interval 4,4,5.26,2.46,-48.78,-56.98,-3
ASCH-TBOL-CFER-SYEP-KREE,Interval 4,4,6.36,4.65,51.61,94.27,6
ASCH-KSHU-SYEP-KREE-SHEI,Interval 4,4,8.33,5.18,-15.44,-24.01,-2
KSHU-TBOL-CFER-SYEP-SHEI,Interval 4,4,4.93,3.23,0.0,0.0,0
KSHU-TBOL-SYEP-KREE-SHEI,Interval 4,4,2.43,2.15,74.42,164.61,4
CVEC-ASCH-LNAV-SYEP-EMEH,Interval 4,4,3.9,1.7,23.53,25.64,1
ASCH-CFER-AMAR-KREE-SHEI,Interval 4,4,12.07,7.82,61.38,99.42,12
ASCH-KSHU-TBOL-KREE-SHEI,Interval 4,4,8.23,5.53,-14.47,-24.3,-2
ASCH-KSHU-TBOL-AMAR-SHEI,Interval 4,4,6.0,3.07,26.06,33.33,2
ASCH-TBOL-CFER-AMAR-SHEI,Interval 4,4,8.8,5.25,53.33,79.58,7
KSHU-SYEP-AMAR-KREE-SHEI,Interval 4,4,6.48,5.13,38.99,77.15,5
