lineup,interval,interval_num,possessions,minutes,plusminus_per40,netrating,plusminus
MNAR-MLAT-HRAP-AGOO-OPOL,Interval 3,3,36.42,22.99,1.74,2.75,1
MNAR-KING-MLAT-HRAP-MCUR,Interval 3,3,0.4,0.24,333.33,500.0,2
KING-MLAT-MCUR-OPOL-GGRI,Interval 3,3,19.45,12.0,-16.67,-25.7,-5
MNAR-MLAT-HRAP-MCUR-OPOL,Interval 3,3,23.9,13.93,-5.74,-8.37,-2
MNAR-KING-MLAT-OPOL-GGRI,Interval 3,3,7.3,4.67,-51.39,-82.25,-6
MNAR-KING-MCUR-IKOR-GGRI,Interval 3,3,1.8,1.7,-94.12,-222.84,-4
MLAT-MCUR-GHAR-IKOR-LGRO,Interval 3,3,3.16,1.92,-20.83,-31.6,-1
MNAR-KING-MLAT-MCUR-OPOL,Interval 3,3,1.0,0.61,-131.15,-200.0,-2
MLAT-MCUR-IKOR-OPOL-GGRI,Interval 3,3,1.5,1.08,-148.15,-266.67,-4
MNAR-HRAP-IKOR-AGOO-OPOL,Interval 3,3,4.36,2.73,-87.91,-137.46,-6
MNAR-MLAT-HRAP-IKOR-OPOL,Interval 3,3,2.96,1.77,-90.4,-134.91,-4
KING-MLAT-HRAP-AGOO-OPOL,Interval 3,3,21.12,13.57,0.0,0.0,0
KING-MLAT-HRAP-IKOR-OPOL,Interval 3,3,3.33,2.1,19.05,30.03,1
MNAR-MLAT-MCUR-OPOL-GGRI,Interval 3,3,7.23,3.63,33.06,41.49,3
MNAR-KING-HRAP-AGOO-OPOL,Interval 3,3,19.19,11.67,-6.86,-10.42,-2
MNAR-MLAT-IKOR-OPOL-GGRI,Interval 3,3,0.4,0.0,inf,250.0,1
MNAR-MLAT-IKOR-AGOO-OPOL,Interval 3,3,3.36,2.15,-111.63,-178.31,-6
KING-MLAT-IKOR-AGOO-OPOL,Interval 3,3,4.66,2.15,111.63,128.67,6
MNAR-KING-MCUR-AGOO-OPOL,Interval 3,3,32.54,17.27,9.26,12.29,4
KING-MLAT-HRAP-MCUR-OPOL,Interval 3,3,61.76,35.86,-3.35,-4.86,-3
MLAT-HRAP-MCUR-AGOO-OPOL,Interval 3,3,2.06,1.8,-66.67,-145.28,-3
MNAR-KING-HRAP-OPOL-GGRI,Interval 3,3,7.3,5.01,23.95,41.12,3
MNAR-KING-HRAP-MCUR-OPOL,Interval 3,3,22.86,15.06,0.0,0.0,0
MLAT-MCUR-IKOR-LGRO-GGRI,Interval 3,3,0.5,0.25,320.0,400.0,2
MNAR-MLAT-HRAP-AGOO-GGRI,Interval 3,3,1.83,1.25,64.0,109.29,2
KING-HRAP-MCUR-OPOL-GGRI,Interval 3,3,6.17,4.38,9.13,16.2,1
KING-HRAP-MCUR-IKOR-OPOL,Interval 3,3,9.96,5.09,15.72,20.07,2
KING-MLAT-HRAP-MCUR-AGOO,Interval 3,3,9.92,5.87,-47.7,-70.54,-7
MNAR-MCUR-IKOR-AGOO-OPOL,Interval 3,3,7.5,4.48,-17.86,-26.67,-2
MNAR-MLAT-HRAP-IKOR-AGOO,Interval 3,3,1.8,1.25,96.0,166.67,3
MNAR-MLAT-HRAP-OPOL-GGRI,Interval 3,3,18.68,12.59,0.0,0.0,0
MNAR-KING-HRAP-IKOR-AGOO,Interval 3,3,3.96,3.17,25.24,50.44,2
KING-MLAT-MCUR-AGOO-OPOL,Interval 4,4,3.4,1.22,-131.15,-117.65,-4
MNAR-KING-MCUR-AGOO-OPOL,Interval 4,4,5.5,3.53,-67.99,-109.09,-6
MNAR-KING-MLAT-AGOO-OPOL,Interval 4,4,29.15,17.34,-29.99,-44.59,-13
MNAR-KING-HRAP-IKOR-OPOL,Interval 4,4,1.33,1.38,-28.99,-75.19,-1
MNAR-KING-MCUR-IKOR-AGOO,Interval 4,4,0.5,0.3,0.0,0.0,0
KING-MLAT-MCUR-IKOR-AGOO,Interval 4,4,0.0,0.27,0.0,,0
MNAR-KING-MLAT-MCUR-OPOL,Interval 4,4,0.0,0.01,0.0,,0
MNAR-KING-IKOR-AGOO-OPOL,Interval 4,4,7.72,5.65,-21.24,-38.88,-3
MNAR-KING-HRAP-MCUR-OPOL,Interval 4,4,3.36,2.3,0.0,0.0,0
MNAR-KING-MCUR-IKOR-OPOL,Interval 4,4,2.86,1.48,0.0,0.0,0
MNAR-MLAT-HRAP-AGOO-OPOL,Interval 4,4,2.56,1.66,-48.19,-77.97,-2
KING-MLAT-AGOO-OPOL-GGRI,Interval 4,4,0.96,0.75,0.0,0.0,0
MNAR-KING-HRAP-AGOO-OPOL,Interval 4,4,7.9,3.96,-50.51,-63.29,-5
KING-MLAT-MCUR-OPOL-GGRI,Interval 4,4,0.36,0.25,160.0,273.97,1
MNAR-MLAT-MCUR-IKOR-OPOL,Interval 4,4,4.43,2.45,0.0,0.0,0
KING-MLAT-MCUR-IKOR-OPOL,Interval 4,4,2.5,1.67,0.0,0.0,0
KING-MLAT-IKOR-AGOO-GGRI,Interval 4,4,1.0,0.62,0.0,0.0,0
MNAR-MLAT-MCUR-AGOO-OPOL,Interval 4,4,2.46,1.03,0.0,0.0,0
MNAR-KING-MLAT-MCUR-AGOO,Interval 4,4,1.86,0.4,-100.0,-53.62,-1
MNAR-KING-MLAT-MCUR-GGRI,Interval 4,4,0.4,0.01,-8000.0,-500.0,-2
MNAR-MLAT-AGOO-OPOL-GGRI,Interval 4,4,2.43,2.62,-91.6,-246.91,-6
MLAT-GHAR-IKOR-LGRO-GGRI,Interval 4,4,1.46,1.08,-74.07,-136.52,-2
MNAR-MLAT-HRAP-OPOL-GGRI,Interval 4,4,8.75,5.65,-49.56,-79.95,-7
MLAT-HRAP-MCUR-IKOR-OPOL,Interval 4,4,2.0,1.09,-146.79,-200.2,-4
MNAR-MLAT-HRAP-MCUR-OPOL,Interval 4,4,1.7,0.63,-63.49,-58.82,-1
MNAR-MLAT-IKOR-OPOL-GGRI,Interval 4,4,5.2,2.77,57.76,76.92,4
MLAT-MCUR-IKOR-AGOO-OPOL,Interval 4,4,0.5,0.18,0.0,0.0,0
MNAR-MLAT-MCUR-IKOR-AGOO,Interval 4,4,1.43,1.68,-23.81,-69.93,-1
MNAR-KING-MCUR-AGOO-GGRI,Interval 4,4,3.01,2.02,-79.21,-132.93,-4
MNAR-KING-MLAT-OPOL-GGRI,Interval 4,4,19.22,11.02,18.15,26.01,5
MNAR-KING-HRAP-OPOL-GGRI,Interval 4,4,26.31,17.35,34.58,57.01,15
MNAR-KING-MCUR-OPOL-GGRI,Interval 4,4,2.13,2.02,19.8,46.95,1
MNAR-KING-MLAT-IKOR-OPOL,Interval 4,4,5.93,2.88,-27.78,-33.73,-2
MNAR-KING-AGOO-OPOL-GGRI,Interval 4,4,7.13,5.04,71.43,126.23,9
KING-MLAT-HRAP-OPOL-GGRI,Interval 4,4,7.0,4.93,0.0,0.0,0
MNAR-KING-MLAT-AGOO-GGRI,Interval 4,4,10.96,4.75,-75.79,-82.08,-9
MNAR-MLAT-IKOR-AGOO-OPOL,Interval 4,4,2.73,2.12,37.74,73.26,2
MNAR-KING-IKOR-OPOL-GGRI,Interval 4,4,3.0,1.78,-44.94,-66.67,-2
KING-MLAT-HRAP-MCUR-OPOL,Interval 4,4,3.96,2.38,-33.61,-50.44,-2
MNAR-HRAP-MCUR-IKOR-OPOL,Interval 4,4,1.9,0.76,0.0,0.0,0
MNAR-KING-MLAT-HRAP-OPOL,Interval 4,4,48.06,29.91,-16.05,-24.97,-12
MNAR-MLAT-HRAP-IKOR-OPOL,Interval 4,4,7.72,5.24,0.0,0.0,0
KING-MLAT-HRAP-IKOR-OPOL,Interval 4,4,9.8,5.8,48.28,71.47,7
