lineup,interval,interval_num,possessions,minutes,plusminus_per40,netrating,plusminus
MJON-KJOH-EFOY-MAFE-ECLA,Interval 4,4,4.96,2.62,-30.53,-40.28,-2
JHUN-ZAOK-KJOH-ASHO-EFOY,Interval 4,4,9.74,6.13,19.58,30.81,3
JHUN-MJON-ZAOK-EFOY-MAFE,Interval 4,4,3.36,3.0,13.33,29.72,1
MHAS-MJON-ZAOK-ASHO-EFOY,Interval 4,4,6.16,3.65,32.88,48.66,3
MHAS-JHUN-ASHO-EFOY-MAFE,Interval 4,4,2.0,1.3,92.31,150.0,3
MJON-ZAOK-KJOH-ASHO-MAFE,Interval 4,4,3.86,2.38,0.0,0.0,0
MJON-ZAOK-KJOH-ASHO-ECLA,Interval 4,4,8.22,5.48,-21.9,-36.51,-3
MJON-ZAOK-KJOH-EFOY-MAFE,Interval 4,4,30.91,16.65,16.82,22.65,7
JHUN-MJON-ZAOK-KJOH-ASHO,Interval 4,4,13.62,8.2,19.51,29.38,4
JHUN-ASHO-EFOY-MAFE-ECLA,Interval 4,4,5.33,3.23,86.69,131.33,7
MENN-SMUR-ASHO-ECLA-NBER,Interval 4,4,3.73,2.47,48.58,80.43,3
MHAS-JHUN-KJOH-EFOY-NBER,Interval 4,4,4.3,2.84,56.34,93.13,4
JHUN-ZAOK-KJOH-EFOY-MAFE,Interval 4,4,4.43,2.55,0.0,0.0,0
MJON-ZAOK-ASHO-EFOY-ECLA,Interval 4,4,5.5,2.47,32.39,36.36,2
MHAS-JHUN-KJOH-ASHO-EFOY,Interval 4,4,2.9,0.91,219.78,172.41,5
JHUN-MENN-ASHO-EFOY-ECLA,Interval 4,4,2.83,1.75,68.57,106.01,3
JHUN-KJOH-ASHO-EFOY-MAFE,Interval 4,4,8.6,4.62,-17.32,-23.26,-2
MHAS-MJON-KJOH-ASHO-MAFE,Interval 4,4,5.96,2.65,90.57,100.59,6
MHAS-JHUN-EFOY-MAFE-ECLA,Interval 4,4,7.43,5.25,15.24,26.93,2
JHUN-KJOH-EFOY-MAFE-ECLA,Interval 4,4,8.54,5.12,7.81,11.71,1
