lineup,interval,interval_num,possessions,minutes,plusminus_per40,netrating,plusminus
EVIL-ATUH-CABR-JVIL-ACOV,Interval 1,1,2.66,1.72,46.51,75.19,2
EVIL-MALS-CABR-DMEN-CKPE,Interval 1,1,2.8,1.03,38.83,35.71,1
JCHI-EVIL-MALS-JVIL-TWAL,Interval 1,1,3.36,1.93,-145.08,-208.02,-7
ATUH-ADAR-MALS-CABR-TWAL,Interval 1,1,2.86,1.36,117.65,139.62,4
EVIL-ATUH-MALS-CABR-TWAL,Interval 1,1,7.53,4.27,-37.47,-53.12,-4
ATUH-ADAR-MALS-CABR-CKPE,Interval 1,1,1.86,1.29,0.0,0.0,0
EVIL-ATUH-ADAR-CABR-TWAL,Interval 1,1,2.4,1.19,33.61,41.67,1
ATUH-CABR-JVIL-DMEN-TWAL,Interval 1,1,11.8,6.41,-12.48,-16.95,-2
ATUH-KGAR-CABR-TWAL-ACOV,Interval 1,1,14.62,7.19,27.82,34.2,5
JCHI-CABR-JVIL-DMEN-TWAL,Interval 1,1,2.0,1.23,-65.04,-100.0,-2
JCHI-ATUH-MALS-TWAL-ACOV,Interval 1,1,2.4,2.07,-38.65,-83.33,-2
JCHI-KGAR-CABR-TWAL-ACOV,Interval 1,1,2.0,1.07,74.77,100.0,2
JCHI-ADAR-CABR-JVIL-DMEN,Interval 1,1,1.36,1.0,160.0,293.04,4
ATUH-MALS-JVIL-TWAL-ACOV,Interval 1,1,3.5,1.75,0.0,0.0,0
JCHI-MALS-JVIL-TWAL-ACOV,Interval 1,1,3.4,1.15,34.78,29.41,1
EVIL-MALS-CABR-JVIL-CKPE,Interval 1,1,5.33,3.33,-36.04,-56.29,-3
EVIL-MALS-CABR-TWAL-CKPE,Interval 1,1,1.9,0.67,179.1,157.89,3
JCHI-ADAR-KGAR-JVIL-DMEN,Interval 1,1,3.53,1.4,-57.14,-56.63,-2
JCHI-EVIL-KGAR-CABR-CKPE,Interval 1,1,5.45,2.62,-15.27,-18.34,-1
JCHI-ATUH-JVIL-DMEN-TWAL,Interval 1,1,3.83,2.8,28.57,52.22,2
JCHI-ADAR-KGAR-CABR-DMEN,Interval 1,1,3.0,1.13,70.8,66.67,2
EVIL-ADAR-MALS-JVIL-DMEN,Interval 1,1,4.4,1.98,20.2,22.73,1
JCHI-EVIL-ADAR-DMEN-TWAL,Interval 1,1,3.5,1.68,47.62,57.14,2
EVIL-ATUH-CABR-DMEN-TWAL,Interval 1,1,17.79,10.57,18.92,28.11,5
ATUH-KGAR-CABR-DMEN-TWAL,Interval 1,1,0.66,0.37,324.32,451.13,3
