lineup,interval,interval_num,possessions,minutes,plusminus_per40,netrating,plusminus
ARAN-LAMO-DMOO-KHOR-MTHA,Interval 3,3,1.9,0.95,-42.11,-52.63,-1
LMCC-ARAN-HRHO-JRHO-DMOO,Interval 3,3,1.0,1.05,-114.29,-300.0,-3
ARAN-LAMO-KHOR-MTHA-TREI,Interval 3,3,1.4,1.15,-69.57,-143.16,-2
LMCC-ARAN-HRHO-JRHO-MTHA,Interval 3,3,0.4,0.0,-inf,-500.0,-2
ARAN-HRHO-DMOO-KHOR-TREI,Interval 3,3,116.27,73.22,-12.56,-19.78,-23
HRHO-DMOO-KHOR-MTHA-TREI,Interval 3,3,2.9,3.17,0.0,0.0,0
ARAN-HRHO-KHOR-MTHA-TREI,Interval 3,3,27.19,16.47,26.72,40.45,11
ARAN-JRHO-DMOO-KHOR-MTHA,Interval 3,3,2.0,1.13,0.0,0.0,0
HRHO-JRHO-KHOR-MTHA-TREI,Interval 3,3,1.63,1.17,-34.19,-61.24,-1
LMCC-ARAN-HRHO-DMOO-ERUS,Interval 3,3,1.0,1.17,0.0,0.0,0
LMCC-HRHO-JRHO-DMOO-KHOR,Interval 3,3,9.43,6.72,-29.76,-53.02,-5
LMCC-HRHO-DMOO-KHOR-ERUS,Interval 3,3,1.46,0.81,98.77,136.52,2
LMCC-CGAL-HRHO-KHOR-TREI,Interval 3,3,1.3,0.26,153.85,76.92,1
ARAN-HRHO-DMOO-KHOR-ECAR,Interval 3,3,2.54,1.75,0.0,0.0,0
LMCC-ARAN-JRHO-KHOR-TREI,Interval 3,3,18.16,11.34,42.33,66.1,12
ARAN-CGAL-HRHO-KHOR-TREI,Interval 3,3,2.39,1.87,21.39,41.91,1
LMCC-CGAL-HRHO-DMOO-TREI,Interval 3,3,2.96,2.1,38.1,67.45,2
LMCC-ARAN-CGAL-MTHA-TREI,Interval 3,3,2.0,1.08,-37.04,-50.0,-1
ARAN-JRHO-LAMO-DMOO-KHOR,Interval 3,3,2.13,1.07,-37.38,-46.95,-1
ARAN-CGAL-HRHO-JRHO-KHOR,Interval 3,3,4.94,2.32,-17.24,-20.23,-1
LMCC-ARAN-CGAL-DMOO-TREI,Interval 3,3,3.0,1.37,0.0,0.0,0
LMCC-ARAN-HRHO-DMOO-TREI,Interval 3,3,10.69,6.55,91.6,140.32,15
LMCC-ARAN-HRHO-MTHA-TREI,Interval 3,3,9.33,5.76,0.0,0.0,0
ARAN-HRHO-LAMO-DMOO-KHOR,Interval 3,3,4.36,3.63,-55.1,-114.55,-5
ARAN-JRHO-KHOR-MTHA-TREI,Interval 3,3,2.16,0.8,150.0,138.57,3
HRHO-JRHO-LAMO-MTHA-TREI,Interval 3,3,2.0,2.03,0.0,0.0,0
CGAL-HRHO-DMOO-KHOR-MTHA,Interval 3,3,0.9,0.35,114.29,111.11,1
CGAL-HRHO-JRHO-DMOO-KHOR,Interval 3,3,1.4,0.63,0.0,0.0,0
LMCC-ARAN-DMOO-KHOR-TREI,Interval 3,3,91.16,57.9,-26.94,-42.78,-39
ARAN-HRHO-JRHO-KHOR-MTHA,Interval 3,3,7.46,4.84,24.79,40.24,3
ARAN-CGAL-JRHO-KHOR-TREI,Interval 3,3,3.5,2.28,70.18,114.29,4
LMCC-ARAN-KHOR-MTHA-TREI,Interval 3,3,12.46,7.96,-25.13,-40.11,-5
LMCC-ARAN-HRHO-JRHO-TREI,Interval 3,3,4.0,2.5,0.0,0.0,0
ARAN-HRHO-LAMO-MTHA-TREI,Interval 3,3,3.9,2.28,35.09,51.28,2
ARAN-HRHO-JRHO-DMOO-KHOR,Interval 3,3,12.06,8.62,-32.48,-58.02,-7
LMCC-ARAN-CGAL-KHOR-TREI,Interval 3,3,5.76,3.78,0.0,0.0,0
LMCC-CGAL-HRHO-JRHO-KHOR,Interval 3,3,7.22,4.28,18.69,27.72,2
LMCC-HRHO-KHOR-MTHA-TREI,Interval 3,3,20.15,11.95,46.86,69.49,14
CGAL-HRHO-JRHO-KHOR-MTHA,Interval 3,3,7.03,4.86,32.92,56.92,4
ARAN-CGAL-JRHO-KHOR-MTHA,Interval 3,3,11.21,6.27,-19.14,-26.77,-3
ARAN-HRHO-DMOO-KHOR-TREI,Interval 4,4,141.48,84.44,-13.74,-20.5,-29
ARAN-HRHO-KHOR-MTHA-TREI,Interval 4,4,67.91,43.25,-6.47,-10.31,-7
ARAN-CGAL-JRHO-KHOR-TREI,Interval 4,4,3.93,2.46,-32.52,-50.89,-2
ARAN-CGAL-KHOR-CWRI-TREI,Interval 4,4,0.5,0.05,0.0,0.0,0
HRHO-JRHO-KHOR-MTHA-TREI,Interval 4,4,2.4,1.33,-120.3,-166.67,-4
