lineup,interval,interval_num,possessions,minutes,plusminus_per40,netrating,plusminus
RMOG-TBAR-MBUR-NFRA-THUL,Interval 4,4,2.37,1.36,88.24,126.85,3
RMOG-TBAR-ESTR-NFRA-THUL,Interval 4,4,2.03,1.13,0.0,0.0,0
MMEE-ESHE-MBUR-NFRA-LSPE,Interval 4,4,7.93,4.09,-48.9,-63.05,-5
MMEE-ESHE-NFRA-LSPE-THUL,Interval 4,4,2.86,1.53,78.43,104.71,3
MMEE-TBAR-AMAR-MBUR-LSPE,Interval 4,4,3.4,1.72,-23.26,-29.41,-1
RMOG-MBUR-NFRA-LSPE-THUL,Interval 4,4,2.9,1.58,151.9,206.9,6
ESTR-AMAR-ESHE-MBUR-THUL,Interval 4,4,3.5,2.17,-73.73,-114.29,-4
MMEE-RMOG-MBUR-NFRA-THUL,Interval 4,4,3.5,1.82,65.93,85.71,3
MMEE-AMAR-ESHE-MBUR-NFRA,Interval 4,4,3.0,1.75,91.43,133.33,4
MMEE-ESTR-AMAR-ESHE-THUL,Interval 4,4,2.0,1.42,140.85,250.0,5
MMEE-AMAR-ESHE-MBUR-EZIM,Interval 4,4,10.7,6.24,0.0,0.0,0
