lineup,poss_total,PM_p40,plus_minus,net_rtg,minutes,o_poss,d_poss,pts_for,pts_against,o_eFG%,o_TOV%,o_orbR,o_ftaR,off_rtg,d_eFG%,d_TOV%,d_orbR,d_ftaR,def_rtg,rel_PM_p40,rel_off_rtg,rel_def_rtg,rel_net_rtg,team_minutes,team_plus_minus,team_pts_for,team_pts_against,team_o_poss,team_d_poss,team_poss_total,team_off_rtg,team_def_rtg,team_net_rtg,team_PM_p40
JL-AC-IK-MH-AM7,3.93,64.865,2,107.254,1.233,1.93,2.0,4,2,0.667,0.0,0.518,0.0,207.254,0.5,0.0,0.0,0.0,100.0,59.206,102.979,4.11,98.869,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
JL-AC-ZO-KJ-CH,2.8,-98.63,-3,0.0,1.217,0.8,2.0,2,5,0.0,0.0,0.0,0.0,250.0,1.25,0.0,0.0,0.0,250.0,-104.289,145.725,154.11,-8.385,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
JL-AM-ZO-KJ-AM7,5.79,-98.63,-3,-100.718,1.217,2.86,2.93,2,5,0.333,0.699,0.699,0.0,69.93,0.625,0.0,0.341,0.0,170.648,-104.289,-34.345,74.758,-109.103,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
JL-IK-ZO-MH-PR,6.19,251.874,7,167.064,1.112,4.19,2.0,7,0,0.583,0.239,0.955,0.167,167.064,0.0,1.0,0.0,0.0,0.0,246.216,62.789,-95.89,158.68,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
MS-JL-AM-KJ-AM7,2.93,0.0,0,0.0,1.0,1.93,1.0,0,0,0.0,0.518,0.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.659,-104.275,-95.89,-8.385,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
MS-JL-IK-KJ-AM7,2.995,-128.114,-3,-145.278,0.937,0.93,2.065,0,3,0.0,1.075,1.075,0.0,0.0,0.0,0.0,0.484,4.0,145.278,-133.772,-104.275,49.388,-153.663,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
AM-AC-ZO-MH-AM7,1.93,87.273,2,215.054,0.917,0.93,1.0,2,0,0.5,0.0,1.075,0.0,215.054,0.0,0.0,0.0,0.0,0.0,81.614,110.779,-95.89,206.669,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
AC-IK-ZO-KJ-PR,1.0,-97.363,-2,-200.0,0.822,0.0,1.0,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,200.0,-103.022,-104.275,104.11,-208.385,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
AM-ZO-MH-PR-CH,2.0,0.0,0,0.0,0.73,2.0,0.0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.659,-104.275,-95.89,-8.385,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
AM-AC-IK-ZO-KJ,1.93,120.0,2,215.054,0.667,0.93,1.0,2,0,0.5,0.0,1.075,0.0,215.054,0.0,0.0,0.0,0.0,0.0,114.341,110.779,-95.89,206.669,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
JL-AC-IK-MH-PR,1.0,123.077,2,200.0,0.65,1.0,0.0,2,0,1.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,117.418,95.725,-95.89,191.615,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
AM-AC-ZO-PR-AM7,2.4,-129.73,-2,0.0,0.617,0.8,1.6,2,4,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,250.0,-135.388,145.725,154.11,-8.385,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
AM-AC-ZO-KJ-CH,1.93,0.0,0,0.0,0.583,1.0,0.93,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.075,0.0,0.0,-5.659,-104.275,-95.89,-8.385,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
JL-AC-ZO-KJ-PR,1.53,0.0,0,23.973,0.4,0.73,0.8,2,2,0.0,0.0,1.37,2.0,273.973,0.0,0.0,0.0,0.0,250.0,-5.659,169.697,154.11,15.588,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
JL-AC-IK-KJ-PR,0.73,228.571,2,273.973,0.35,0.73,0.0,2,0,0.0,0.0,1.37,2.0,273.973,0.0,0.0,0.0,0.0,0.0,222.913,169.697,-95.89,265.588,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
AM-AC-KJ-MH-CH,1.8,-282.353,-2,-250.0,0.283,1.0,0.8,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,-288.011,-104.275,154.11,-258.385,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
AM-AC-ZO-PR-CH,1.4,188.976,1,-50.0,0.212,1.0,0.4,2,1,1.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,250.0,183.318,95.725,154.11,-58.385,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
JL-AM-IK-MH-AM7,0.8,200.0,1,125.0,0.2,0.8,0.0,1,0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,194.341,20.725,-95.89,116.615,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
JL-AM-IK-KJ-AM7,1.0,0.0,0,0.0,0.2,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-5.659,-104.275,-95.89,-8.385,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
AC-IK-ZO-PR-AM7,1.0,0.0,0,0.0,0.133,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.659,-104.275,-95.89,-8.385,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
MS-AM-AC-PR-CH,0.4,750.0,1,250.0,0.053,0.4,0.0,1,0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,744.341,145.725,-95.89,241.615,205.0,29,349,320,334.692,333.715,668.406,104.275,95.89,8.385,5.659
