combo_string,interval_num,minutes,PM_p40,rel_PM_p40,rel_off_rtg,rel_def_rtg,rel_net_rtg,pts_for,pts_against,o_poss,d_poss,plus_minus,off_rtg,def_rtg,net_rtg,team_minutes,team_plus_minus,team_pts_for,team_pts_against,team_o_poss,team_d_poss,team_poss_total,team_off_rtg,team_def_rtg,team_net_rtg,team_PM_p40,combo_size,interval_len,interval_start,interval_end,player1,player2,player3
AM-IK-CH,1,58.404,-10.27326895418122,-9.773272079161687,-24.93513583049436,-11.08279320674174,-13.85234262375262,69,84,96.042,96.85,-15,71.84356843880802,86.7320598864223,-14.888491447614284,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,AM,IK,CH
AM-IK-CH,2,37.149,1.0767449998654068,-1.6925496761655785,-15.202320436900308,-17.645722028928432,2.443401592028124,52,51,53.85,57.77,1,96.56453110492107,88.28111476544919,8.283416339471884,1299.97,90,2390,2300,2138.38,2171.3099999999995,4309.69,111.76685154182138,105.92683679437762,5.84001474744376,2.7692946760309853,3,3,251228,260102,AM,IK,CH
AM-IK-CH,3,62.227,8.356501197229498,6.510404154061596,4.777884623170948,-6.2729435492809955,11.050828172451943,105,92,95.028,91.945,13,110.49374921075892,100.05981836967752,10.43393084108142,1300.0400000000002,60,2200,2140,2081.05,2012.5500000000004,4093.6,105.715864587588,106.33276191895852,-0.6168973313705237,1.8460970431679025,3,3,260104,260115,AM,IK,CH
AM-IK-CH,4,50.849,29.105783791224997,22.43911712455833,17.61995964915488,-12.673103558562543,30.293063207717424,105,68,86.035,84.362,37,122.04335444877086,80.60501173514142,41.43834271362944,1200.0,200,2110,1910,2020.62,2047.64,4068.26,104.42339479961598,93.27811529370396,11.145279505912017,6.666666666666667,3,3,260117,260124,AM,IK,CH
AM-IK-MH,1,56.756,-0.7047713017125943,-0.2047744266930631,-21.88324584668395,-14.07524884882794,-7.807996997856009,72,73,96.134,87.175,-1,74.89545842261843,83.7396042443361,-8.844145821717674,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,AM,IK,MH
AM-IK-MH,2,42.511,18.818658700101153,16.04936402407017,17.432114866447364,-10.59523934983359,28.027354216280955,87,67,67.338,70.281,20,129.19896640826877,95.33159744454404,33.867368963724715,1299.97,90,2390,2300,2138.38,2171.3099999999995,4309.69,111.76685154182138,105.92683679437762,5.84001474744376,2.7692946760309853,3,3,251228,260102,AM,IK,MH
AM-IK-MH,3,62.22,3.2144005143040824,1.36830347113618,1.9059968644949097,3.7309878767152185,-1.824991012220309,106,101,98.493,91.765,5,107.6218614520829,110.06374979567371,-2.4418883435908327,1300.0400000000002,60,2200,2140,2081.05,2012.5500000000004,4093.6,105.715864587588,106.33276191895852,-0.6168973313705237,1.8460970431679025,3,3,260104,260115,AM,IK,MH
AM-IK-MH,4,38.683,29.98733293694905,23.32066627028238,22.850693693309097,-7.601422414049111,30.452116107358208,85,56,66.785,65.362,29,127.27408849292507,85.67669287965485,41.59739561327022,1200.0,200,2110,1910,2020.62,2047.64,4068.26,104.42339479961598,93.27811529370396,11.145279505912017,6.666666666666667,3,3,260117,260124,AM,IK,MH
AM-MH-CH,1,63.536,-9.443465122135482,-8.94346824711595,-16.881596154874146,-3.977182589149336,-12.90441356572481,82,97,102.632,103.37,-15,79.89710811442824,93.83767050401472,-13.940562389586477,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,AM,MH,CH
AM-MH-CH,2,51.289,1.5597886486381094,-1.209506027392876,0.6750941927178502,-1.0109443681393344,1.6860385608571846,92,90,81.82000000000001,85.783,2,112.44194573453925,104.91589242623829,7.526053308300945,1299.97,90,2390,2300,2138.38,2171.3099999999995,4309.69,111.76685154182138,105.92683679437762,5.84001474744376,2.7692946760309853,3,3,251228,260102,AM,MH,CH
AM-MH-CH,3,62.181,1.9298499541660636,0.0837529109981614,1.6066839783267568,4.5169112836558725,-2.9102273053291157,109,106,101.563,95.625,3,107.32254856591474,110.84967320261438,-3.5271246366996394,1300.0400000000002,60,2200,2140,2081.05,2012.5500000000004,4093.6,105.715864587588,106.33276191895852,-0.6168973313705237,1.8460970431679025,3,3,260104,260115,AM,MH,CH
AM-MH-CH,4,58.52,15.037593984962406,8.370927318295738,12.806405412987232,2.348939193794791,10.45746621919244,118,96,100.657,100.39,22,117.2298002126032,95.62705448749875,21.602745725104455,1200.0,200,2110,1910,2020.62,2047.64,4068.26,104.42339479961598,93.27811529370396,11.145279505912017,6.666666666666667,3,3,260117,260124,AM,MH,CH
JL-AM-CH,1,58.132000000000005,-2.752356705429023,-2.2523598304094925,-12.079022154529085,-8.265759119291317,-3.813263035237767,81,85,95.632,94.92,-4,84.6996821147733,89.54909397387273,-4.849411859099433,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,JL,AM,CH
JL-AM-CH,2,48.794,2.45931876870107,-0.3099759073299153,1.9275787085618532,1.3278181823630746,0.5997605261987786,89,86,78.28,80.183,3,113.69443025038323,107.2546549767407,6.439775273642539,1299.97,90,2390,2300,2138.38,2171.3099999999995,4309.69,111.76685154182138,105.92683679437762,5.84001474744376,2.7692946760309853,3,3,251228,260102,JL,AM,CH
JL-AM-CH,3,56.694,8.466504391999154,6.620407348831251,13.00109625821436,6.8043867841768275,6.196709474037533,106,94,89.288,83.08500000000001,12,118.71696084580236,113.13714870313534,5.579812142667009,1300.0400000000002,60,2200,2140,2081.05,2012.5500000000004,4093.6,105.715864587588,106.33276191895852,-0.6168973313705237,1.8460970431679025,3,3,260104,260115,JL,AM,CH
JL-AM-CH,4,54.208,15.495867768595042,8.829201101928376,8.86389741623988,-7.17406425371226,16.03796166995214,104,83,91.802,96.395,21,113.28729221585586,86.1040510399917,27.18324117586415,1200.0,200,2110,1910,2020.62,2047.64,4068.26,104.42339479961598,93.27811529370396,11.145279505912017,6.666666666666667,3,3,260117,260124,JL,AM,CH
JL-AM-IK,1,53.346,-2.9992876691785697,-2.4992907941590388,-19.339936209475397,-11.15365154731559,-8.186284662159807,70,74,90.394,85.39,-4,77.43876805982698,86.66120154584846,-9.222433486021473,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,JL,AM,IK
JL-AM-IK,2,36.078,21.06546926104551,18.29617458501453,22.656014495180273,-8.592433351813455,31.248447846993727,76,57,56.538,58.561,19,134.42286603700165,97.33440344256417,37.08846259443749,1299.97,90,2390,2300,2138.38,2171.3099999999995,4309.69,111.76685154182138,105.92683679437762,5.84001474744376,2.7692946760309853,3,3,251228,260102,JL,AM,IK
JL-AM-IK,3,56.787,3.5219328367408034,1.6758357935729011,7.533123035098413,8.085106743934801,-0.5519837088363886,99,94,87.41799999999999,82.155,5,113.2489876226864,114.41786866289333,-1.1688810402069123,1300.0400000000002,60,2200,2140,2081.05,2012.5500000000004,4093.6,105.715864587588,106.33276191895852,-0.6168973313705237,1.8460970431679025,3,3,260104,260115,JL,AM,IK
JL-AM-IK,4,39.533,32.37801330533984,25.711346638673177,22.88791165688599,-15.622131302783744,38.51004295966973,84,52,65.98,66.962,32,127.31130645650197,77.65598399092022,49.65532246558175,1200.0,200,2110,1910,2020.62,2047.64,4068.26,104.42339479961598,93.27811529370396,11.145279505912017,6.666666666666667,3,3,260117,260124,JL,AM,IK
JL-AM-MH,1,53.522000000000006,5.978849818766114,6.478846693785645,-6.154570529404296,-8.196603558713406,2.04203302930911,85,77,93.794,85.92,8,90.62413373989808,89.61824953445064,1.005884205447444,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,JL,AM,MH
JL-AM-MH,2,58.338,9.599232061435083,6.8299373854041,9.747338844140629,-1.0680432754576683,10.815382119598295,118,104,97.108,99.181,14,121.514190385962,104.85879351891997,16.655396867042057,1299.97,90,2390,2300,2138.38,2171.3099999999995,4309.69,111.76685154182138,105.92683679437762,5.84001474744376,2.7692946760309853,3,3,251228,260102,JL,AM,MH
JL-AM-MH,3,54.404,2.9409602235129766,1.0948631803450743,9.986425401300025,16.59987859811899,-6.613453196818966,101,97,87.29299999999999,78.905,4,115.702289988888,122.9326405170775,-7.23035052818949,1300.0400000000002,60,2200,2140,2081.05,2012.5500000000004,4093.6,105.715864587588,106.33276191895852,-0.6168973313705237,1.8460970431679025,3,3,260104,260115,JL,AM,MH
JL-AM-MH,4,55.324000000000005,13.73725688670378,7.070590220037112,2.9347685499587044,-7.602995348536027,10.537763898494733,104,85,96.872,99.212,19,107.35816334957468,85.67511994516794,21.683043404406742,1200.0,200,2110,1910,2020.62,2047.64,4068.26,104.42339479961598,93.27811529370396,11.145279505912017,6.666666666666667,3,3,260117,260124,JL,AM,MH
JL-IK-MH,1,58.712,10.219375936776126,10.719372811795658,-2.0222096966917036,-8.51986814871384,6.4976584520221365,101,86,106.589,96.31,15,94.75649457261068,89.2949849444502,5.461509628160471,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,JL,IK,MH
JL-IK-MH,2,38.440999999999995,17.689446164251713,14.920151488220728,11.65477572486428,-9.956037090156473,21.61081281502075,78,61,63.198,63.561,17,123.42162726668566,95.97079970422116,27.45082756246451,1299.97,90,2390,2300,2138.38,2171.3099999999995,4309.69,111.76685154182138,105.92683679437762,5.84001474744376,2.7692946760309853,3,3,251228,260102,JL,IK,MH
JL-IK-MH,3,55.932,10.012157619967102,8.1660605767992,18.79360146690712,10.56352244914548,8.23007901776164,112,98,89.953,83.83500000000001,14,124.5094660544951,116.896284368104,7.6131816863911155,1300.0400000000002,60,2200,2140,2081.05,2012.5500000000004,4093.6,105.715864587588,106.33276191895852,-0.6168973313705237,1.8460970431679025,3,3,260104,260115,JL,IK,MH
JL-IK-MH,4,34.53,34.75238922675934,28.085722560092673,21.95379249785647,-10.36510486048347,32.31889735833994,78,48,61.720000000000006,57.892,30,126.37718729747245,82.91301043322049,43.464176864251954,1200.0,200,2110,1910,2020.62,2047.64,4068.26,104.42339479961598,93.27811529370396,11.145279505912017,6.666666666666667,3,3,260117,260124,JL,IK,MH
JL-MH-CH,1,63.417,7.568948389233171,8.068945264252703,0.9093452259760396,-5.152928720269998,6.062273946246037,111,99,113.627,106.84,12,97.68804949527842,92.66192437289403,5.0261251223843715,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,JL,MH,CH
JL-MH-CH,2,46.291,0.8640988529087729,-1.9051958231222128,-2.0404901221519367,-3.694334526093982,1.6538444039420457,81,80,73.82000000000001,78.253,1,109.72636141966944,102.23250226828364,7.493859151385806,1299.97,90,2390,2300,2138.38,2171.3099999999995,4309.69,111.76685154182138,105.92683679437762,5.84001474744376,2.7692946760309853,3,3,251228,260102,JL,MH,CH
JL-MH-CH,3,49.861,12.835683199294037,10.989586156126135,18.173242020252445,3.726965616106256,14.44627640414619,98,82,79.103,74.505,16,123.88910660784045,110.05972753506477,13.829379072775666,1300.0400000000002,60,2200,2140,2081.05,2012.5500000000004,4093.6,105.715864587588,106.33276191895852,-0.6168973313705237,1.8460970431679025,3,3,260104,260115,JL,MH,CH
JL-MH-CH,4,45.772,25.3430044568732,18.67633779020653,11.138061766487638,-12.89723357726298,24.03529534375062,94,65,81.342,80.865,29,115.56145656610362,80.38088171644098,35.180574849662634,1200.0,200,2110,1910,2020.62,2047.64,4068.26,104.42339479961598,93.27811529370396,11.145279505912017,6.666666666666667,3,3,260117,260124,JL,MH,CH
