lineup,poss_total,PM_p40,plus_minus,net_rtg,minutes,o_poss,d_poss,pts_for,pts_against,o_eFG%,o_TOV%,o_orbR,o_ftaR,off_rtg,d_eFG%,d_TOV%,d_orbR,d_ftaR,def_rtg,rel_PM_p40,rel_off_rtg,rel_def_rtg,rel_net_rtg,team_minutes,team_plus_minus,team_pts_for,team_pts_against,team_o_poss,team_d_poss,team_poss_total,team_off_rtg,team_def_rtg,team_net_rtg,team_PM_p40
JL-AM-ZO-PR-CH,10.72,9.32,1,-11.025,4.292,5.86,4.86,9,8,0.562,0.0,0.341,0.0,153.584,0.667,0.206,0.412,0.0,164.609,6.876,49.426,63.946,-14.52,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-AM-IK-KJ-PR,13.79,-37.795,-4,-54.492,4.233,6.79,7.0,6,10,0.333,0.147,0.442,0.0,88.365,0.833,0.143,0.0,0.0,142.857,-40.24,-15.792,42.194,-57.986,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
AM-AC-IK-PR-CH,13.73,19.95,2,30.239,4.01,6.8,6.93,5,3,0.833,0.441,0.0,0.667,73.529,0.214,0.144,0.144,0.0,43.29,17.506,-30.628,-57.373,26.745,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-AC-ZO-PR-CH,10.0,-50.336,-5,-100.0,3.973,5.0,5.0,5,10,0.833,0.4,0.0,0.0,100.0,1.25,0.2,0.0,0.0,200.0,-52.78,-4.158,99.337,-103.494,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-IK-ZO-MH-PR,16.99,32.772,3,21.009,3.662,9.19,7.8,9,6,0.5,0.326,0.435,0.111,97.933,0.5,0.385,0.0,0.5,76.923,30.328,-6.225,-23.74,17.515,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
AM-IK-ZO-KJ-PR,6.79,0.0,0,38.079,3.07,2.86,3.93,4,4,0.5,0.35,0.699,0.0,139.86,0.4,0.0,0.254,0.0,101.781,-2.444,35.703,1.118,34.585,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
AC-IK-ZO-KJ-CH,13.73,13.043,1,-5.714,3.067,7.73,6.0,6,5,0.5,0.259,0.259,0.333,77.62,1.25,0.667,0.0,0.0,83.333,10.599,-26.538,-17.33,-9.208,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
AC-IK-ZO-KJ-PR,7.93,13.769,1,11.809,2.905,4.2,3.73,5,4,0.333,0.0,0.0,1.0,119.048,0.5,0.536,0.268,1.0,107.239,11.325,14.89,6.575,8.315,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-AM-IK-ZO-MH,9.13,59.259,4,64.494,2.7,5.2,3.93,6,2,0.667,0.192,0.0,1.0,115.385,0.333,0.509,0.254,0.0,50.891,56.815,11.227,-49.773,61.0,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-AM-ZO-MH-AM7,9.0,-14.824,-1,-50.0,2.698,5.0,4.0,5,6,0.625,0.2,0.0,0.0,100.0,0.75,0.0,0.0,0.0,150.0,-17.268,-4.158,49.337,-53.494,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
MS-AC-KJ-LL-AM7,8.992,15.19,1,49.85,2.633,4.0,4.992,6,5,0.75,0.0,0.0,0.0,150.0,0.0,0.401,0.601,2.0,100.15,12.745,45.842,-0.513,46.355,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
AC-IK-ZO-MH-PR,10.86,-93.506,-6,-128.545,2.567,5.93,4.93,2,8,0.2,0.337,0.169,0.0,33.727,0.8,0.203,0.203,0.0,162.272,-95.951,-70.431,61.609,-132.039,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-AC-ZO-KJ-PR,8.92,-31.373,-2,-48.806,2.55,4.59,4.33,2,4,0.0,0.436,0.654,0.4,43.573,0.0,0.231,0.231,3.0,92.379,-33.817,-60.585,-8.284,-52.3,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
AM-AC-MH-PR-CH,11.6,-16.238,-1,-39.216,2.463,6.8,4.8,3,4,0.2,0.147,0.0,0.4,44.118,0.333,0.208,0.0,0.667,83.333,-18.683,-60.04,-17.33,-42.71,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
MS-JL-AM-MH-CH,7.8,34.783,2,-8.333,2.3,4.8,3.0,6,4,0.667,0.208,0.0,0.667,125.0,0.667,0.0,0.0,0.0,133.333,32.338,20.842,32.67,-11.828,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-AM-AC-MH-AM7,5.86,-105.882,-6,-152.672,2.267,1.93,3.93,0,6,0.0,0.0,0.518,0.0,0.0,0.75,0.254,0.254,0.0,152.672,-108.327,-104.158,52.009,-156.166,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
AM-AC-KJ-PR-CH,5.66,36.09,2,83.709,2.217,2.66,3.0,4,2,0.25,0.0,0.752,0.5,150.376,0.333,0.0,0.0,0.0,66.667,33.646,46.218,-33.996,80.215,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-AC-ZO-MH-PR,6.768,18.898,1,20.972,2.117,4.768,2.0,1,0,0.0,0.419,0.629,0.4,20.972,0.0,1.0,0.5,0.0,0.0,16.453,-83.186,-100.663,17.477,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
MS-JL-AM-MH-PR,5.8,-76.555,-4,-147.619,2.09,3.0,2.8,2,6,0.333,0.0,0.0,0.0,66.667,1.0,0.0,0.0,1.0,214.286,-78.999,-37.491,113.623,-151.114,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-AM-AC-KJ-AM7,3.8,-20.513,-1,-72.222,1.95,2.0,1.8,3,4,0.75,0.0,0.0,0.0,150.0,1.0,0.0,0.0,2.0,222.222,-22.957,45.842,121.559,-75.717,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
AM-AC-IK-ZO-MH,6.8,21.938,1,40.351,1.823,3.0,3.8,2,1,0.333,0.0,0.0,0.0,66.667,0.0,0.526,0.0,2.0,26.316,19.493,-37.491,-74.347,36.856,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
AM-AC-IK-KJ-AM7,5.4,22.222,1,8.333,1.8,3.0,2.4,4,3,1.0,0.333,0.0,0.0,133.333,0.5,0.0,0.0,0.5,125.0,19.778,29.176,24.337,4.839,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-IK-KJ-PR-AM7,4.93,-44.86,-2,-29.706,1.783,1.93,3.0,2,4,0.333,0.0,0.518,0.0,103.627,1.0,0.333,0.0,0.0,133.333,-47.304,-0.531,32.67,-33.201,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
AM-IK-ZO-KJ-AM7,3.86,44.86,2,92.473,1.783,2.0,1.86,4,2,1.0,0.0,0.0,0.0,200.0,0.25,0.0,1.075,0.0,107.527,42.415,95.842,6.864,88.979,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
AM-ZO-MH-PR-CH,5.8,44.944,2,52.632,1.78,3.8,2.0,2,0,0.0,0.263,0.0,1.0,52.632,0.0,0.0,0.0,0.0,0.0,42.499,-51.526,-100.663,49.137,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
AM-AC-ZO-KJ-AM7,4.93,0.0,0,0.0,1.733,1.93,3.0,0,0,0.0,0.0,0.518,0.0,0.0,0.0,0.667,0.0,0.0,0.0,-2.444,-104.158,-100.663,-3.494,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
MS-AM-AC-KJ-PR,5.0,0.0,0,0.0,1.667,2.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,-2.444,-104.158,-100.663,-3.494,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
AM-AC-IK-KJ-CH,5.0,-121.212,-5,-166.667,1.65,2.0,3.0,0,5,0.0,0.0,0.0,0.0,0.0,1.25,0.333,0.0,0.0,166.667,-123.657,-104.158,66.004,-170.161,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-AM-ZO-PR-AM7,8.087,0.0,0,-2.652,1.633,4.087,4.0,5,5,0.5,0.0,0.245,0.5,122.348,1.25,0.5,0.0,0.0,125.0,-2.444,18.191,24.337,-6.146,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-AC-IK-KJ-PR,3.32,0.0,0,51.515,1.617,1.32,2.0,2,2,0.0,0.0,3.03,1.0,151.515,0.5,0.0,0.0,0.0,100.0,-2.444,47.358,-0.663,48.021,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
